#CHROM	FROM	TO	ENSGID	GENE
chr1	20633455	20651511	ENSG00000158828	PINK1
chr1	20651767	20661544	ENSG00000244038	DDOST
chr1	20664014	20718017	ENSG00000117245	KIF17
chr1	21440128	21485005	ENSG00000142794	NBPF3
chr1	21509372	21578412	ENSG00000162551	ALPL
chr1	21678298	21783606	ENSG00000090686	USP48
chr1	23691779	23696425	ENSG00000142676	RPL11
chr1	23801885	23838620	ENSG00000117305	HMGCL
chr1	23845077	23868294	ENSG00000179163	FUCA1
chr1	24745357	24844324	ENSG00000169504	CLIC4
chr1	24899511	24965121	ENSG00000020633	RUNX3
chr1	25430858	25500209	ENSG00000204178	TMEM57
chr1	25800176	25818224	ENSG00000162430	SEPN1
chr1	25818640	25832942	ENSG00000117640	MTFR1L
chr1	26169871	26172060	ENSG00000142684	ZNF593
chr1	26190561	26202968	ENSG00000188782	CATSPER4
chr1	26863138	26864457	ENSG00000175793	SFN
chr1	27098815	27166981	ENSG00000090020	SLC9A1
chr1	27612064	27635277	ENSG00000000938	FGR
chr1	27666061	27672218	ENSG00000126709	IFI6
chr1	28147166	28193936	ENSG00000169403	PTAFR
chr1	28236109	28246906	ENSG00000130770	ATPIF1
chr1	28259527	28282491	ENSG00000130766	SESN2
chr1	28812142	28871267	ENSG00000116329	OPRD1
chr1	28887091	29120046	ENSG00000159023	EPB41
chr1	29192873	29230942	ENSG00000116353	MECR
chr1	31296982	31364953	ENSG00000121766	ZCCHC17
chr1	31365625	31376850	ENSG00000121769	FABP3
chr1	32072031	32102866	ENSG00000121775	TMEM39B
chr1	32179686	32198285	ENSG00000084652	TXLNA
chr1	32221928	32231604	ENSG00000084623	EIF3I
chr1	32247233	32248856	ENSG00000183615	FAM167B
chr1	32251239	32286165	ENSG00000182866	LCK
chr1	32862268	32872482	ENSG00000160097	FNDC5
chr1	33007940	33080996	ENSG00000004455	AK2
chr1	33081104	33120530	ENSG00000142920	AZIN2
chr1	34712737	34859816	ENSG00000163866	SMIM12
chr1	34865436	34929585	ENSG00000116544	DLGAP3
chr1	36088875	36093932	ENSG00000116863	ADPRHL2
chr1	36322031	36324154	ENSG00000142694	EVA1B
chr1	36415827	36450451	ENSG00000116885	OSCP1
chr1	36455718	36464437	ENSG00000116898	MRPS15
chr1	37534449	37554302	ENSG00000163877	SNIP1
chr1	37802944	37808185	ENSG00000196449	YRDC
chr1	37860697	37947057	ENSG00000204084	INPP5B
chr1	38838198	38859823	ENSG00000116954	RRAGC
chr1	38862964	38874105	ENSG00000214114	MYCBP
chr1	39026318	39034636	ENSG00000168653	NDUFS5
chr1	39769523	39771348	ENSG00000198754	OXCT2
chr1	39841022	39883511	ENSG00000043514	TRIT1
chr1	40072705	40097703	ENSG00000131238	PPT1
chr1	40620679	40665657	ENSG00000117016	RIMS3
chr1	42682427	42702349	ENSG00000065978	YBX1
chr1	44775251	44778779	ENSG00000142937	RPS8
chr1	44850522	44986722	ENSG00000070785	EIF2B3
chr1	45326905	45328533	ENSG00000186603	HPDL
chr1	45329163	45340470	ENSG00000132781	MUTYH
chr1	45500053	45513382	ENSG00000132763	MMACHC
chr1	45511036	45523047	ENSG00000117450	PRDX1
chr1	46303631	46316776	ENSG00000173660	UQCRH
chr1	46340177	46365152	ENSG00000117481	NSUN4
chr1	46632737	46673867	ENSG00000123472	ATPAF1
chr1	46668855	46673594	ENSG00000186118	TEX38
chr1	46757838	46819413	ENSG00000142973	CYP4B1
chr1	46929177	46941484	ENSG00000187048	CYP4A11
chr1	47333797	47378839	ENSG00000162368	CMPK1
chr1	51354263	51519328	ENSG00000085832	EPS15
chr1	51789191	51878937	ENSG00000078618	NRD1
chr1	51907956	51990764	ENSG00000169213	RAB3B
chr1	52345723	52366193	ENSG00000154222	CC2D1B
chr1	52684451	52698366	ENSG00000162377	COA7
chr1	52895910	52927212	ENSG00000121310	ECHDC2
chr1	52927229	53051703	ENSG00000116171	SCP2
chr1	53196429	53214197	ENSG00000157184	CPT2
chr1	53413149	53440020	ENSG00000236253	SLC25A3P1
chr1	53851719	53889834	ENSG00000058799	YIPF1
chr1	53916574	53945929	ENSG00000081870	HSPB11
chr1	54184041	54225464	ENSG00000116221	MRPL37
chr1	54542257	54639192	ENSG00000162390	ACOT11
chr1	54756898	54764514	ENSG00000162396	PARS2
chr1	54806063	54842252	ENSG00000162398	LEXM
chr1	54849633	54887218	ENSG00000116133	DHCR24
chr1	55066359	55215113	ENSG00000162402	USP24
chr1	56645322	56715335	ENSG00000162409	PRKAA2
chr1	58415384	58546802	ENSG00000162600	OMA1
chr1	58780788	58784327	ENSG00000177606	JUN
chr1	59893308	59926790	ENSG00000134716	CYP2J2
chr1	62784135	62865513	ENSG00000125703	ATG4C
chr1	63593276	63660245	ENSG00000079739	PGM1
chr1	65147549	65232145	ENSG00000162433	AK4
chr1	65248219	65415869	ENSG00000116675	DNAJC6
chr1	65420587	65436007	ENSG00000213625	LEPROT
chr1	69568398	70151945	ENSG00000033122	LRRC7
chr1	70260588	70354734	ENSG00000118454	ANKRD13C
chr1	70411218	70439851	ENSG00000116761	CTH
chr1	74705482	74733408	ENSG00000116791	CRYZ
chr1	75724347	75787575	ENSG00000117054	ACADM
chr1	84498325	84506565	ENSG00000174021	GNG5
chr1	85318481	85578363	ENSG00000153904	DDAH1
chr1	86704570	86748184	ENSG00000097033	SH3GLB1
chr1	88935773	88992953	ENSG00000137944	CCBL2
chr1	89995112	90035531	ENSG00000162664	ZNF326
chr1	91260766	91404869	ENSG00000162669	HFM1
chr1	92508696	92792404	ENSG00000067208	EVI5
chr1	92832025	92841924	ENSG00000122406	RPL5
chr1	93885205	93909456	ENSG00000023909	GCLM
chr1	93992835	94121132	ENSG00000198691	ABCA4
chr1	94418455	94518666	ENSG00000117528	ABCD3
chr1	97077743	97921049	ENSG00000188641	DPYD
chr1	99850084	99924023	ENSG00000162688	AGL
chr1	100186919	100249834	ENSG00000137992	DBT
chr1	101802574	101997030	ENSG00000118733	OLFM3
chr1	108134036	108200849	ENSG00000085491	SLC25A24
chr1	108929508	108963457	ENSG00000121940	CLCC1
chr1	109213918	109238169	ENSG00000031698	SARS
chr1	109309568	109397951	ENSG00000134243	SORT1
chr1	109399031	109426427	ENSG00000143106	PSMA5
chr1	109603267	109619929	ENSG00000134183	GNAT2
chr1	109984686	110023741	ENSG00000168710	AHCYL1
chr1	110112468	110113945	ENSG00000186150	UBL4B
chr1	110401249	110407942	ENSG00000134248	LAMTOR5
chr1	111117333	111140216	ENSG00000156171	DRAM2
chr1	111448864	111462773	ENSG00000116459	ATP5F1
chr1	112701106	112707434	ENSG00000155366	RHOC
chr1	112709994	112715477	ENSG00000155367	PPM1J
chr1	112911847	112957013	ENSG00000155380	SLC16A1
chr1	114392777	114511160	ENSG00000197323	TRIM33
chr1	114716913	114758676	ENSG00000009307	CSDE1
chr1	115285918	115338236	ENSG00000134259	NGF
chr1	116372668	116410261	ENSG00000163399	ATP1A1
chr1	119031216	119140671	ENSG00000116874	WARS2
chr1	119368779	119394130	ENSG00000116882	HAO2
chr1	119414931	119423035	ENSG00000203859	HSD3B2
chr1	119507198	119515054	ENSG00000203857	HSD3B1
chr1	119659798	119744215	ENSG00000092621	PHGDH
chr1	119747996	119768905	ENSG00000134240	HMGCS2
chr1	145670852	145708148	ENSG00000174827	PDZK1
chr1	145848522	145859836	ENSG00000131788	PIAS3
chr1	145911350	145918837	ENSG00000131779	PEX11B
chr1	145992435	145996600	ENSG00000265972	TXNIP
chr1	146017468	146021918	ENSG00000168509	HFE2
chr1	147155106	147172550	ENSG00000131791	PRKAB2
chr1	147629652	147670496	ENSG00000162836	ACP6
chr1	149887890	149900798	ENSG00000178096	BOLA1
chr1	149903318	149917882	ENSG00000159164	SV2A
chr1	150293720	150308979	ENSG00000266472	MRPS21
chr1	150487364	150507609	ENSG00000143374	TARS2
chr1	150508062	150513789	ENSG00000143369	ECM1
chr1	150574551	150579738	ENSG00000143384	MCL1
chr1	150730196	150765957	ENSG00000163131	CTSS
chr1	150796208	150808323	ENSG00000143387	CTSK
chr1	150926263	150964744	ENSG00000143379	SETDB1
chr1	151057758	151068497	ENSG00000213190	MLLT11
chr1	151254703	151267479	ENSG00000159352	PSMD4
chr1	151281618	151292180	ENSG00000143373	ZNF687
chr1	151291797	151327715	ENSG00000143393	PI4KB
chr1	151399534	151401944	ENSG00000159377	PSMB4
chr1	151759643	151763564	ENSG00000143436	MRPL9
chr1	151770107	151791416	ENSG00000182134	TDRKH
chr1	151847263	151853697	ENSG00000196407	THEM5
chr1	151873584	151909808	ENSG00000159445	THEM4
chr1	152878317	152885047	ENSG00000163206	SMCP
chr1	153633982	153646306	ENSG00000160679	CHTOP
chr1	153658654	153661830	ENSG00000143553	SNAPIN
chr1	153774354	153780157	ENSG00000143554	SLC27A3
chr1	153974269	153977688	ENSG00000143543	JTB
chr1	153990759	153992150	ENSG00000177954	RPS27
chr1	154272511	154275875	ENSG00000143575	HAX1
chr1	154567781	154580026	ENSG00000160716	CHRNB2
chr1	154697455	154870280	ENSG00000143603	KCNN3
chr1	154962298	154974395	ENSG00000160691	SHC1
chr1	154983338	154993111	ENSG00000160688	FLAD1
chr1	155208699	155213824	ENSG00000173171	MTX1
chr1	155234452	155244699	ENSG00000177628	GBA
chr1	155277583	155289848	ENSG00000143630	HCN3
chr1	155308748	155320666	ENSG00000160752	FDPS
chr1	155610205	155614967	ENSG00000125459	MSTO1
chr1	155687960	155739010	ENSG00000132676	DAP3
chr1	156009048	156020959	ENSG00000163479	SSR2
chr1	156054752	156058510	ENSG00000116586	LAMTOR2
chr1	156082573	156140089	ENSG00000160789	LMNA
chr1	156193932	156212796	ENSG00000160785	SLC25A44
chr1	156298624	156299299	ENSG00000189030	VHLL
chr1	156463727	156500828	ENSG00000116604	MEF2D
chr1	156591762	156594299	ENSG00000163382	APOA1BP
chr1	156641390	156659532	ENSG00000132692	BCAN
chr1	156737303	156741590	ENSG00000143314	MRPL24
chr1	156750610	156800817	ENSG00000143294	PRCC
chr1	157513377	157552520	ENSG00000143297	FCRL5
chr1	160037467	160070248	ENSG00000177807	KCNJ10
chr1	160115759	160143591	ENSG00000018625	ATP1A2
chr1	160151570	160186977	ENSG00000132681	ATP1A4
chr1	160190556	160201886	ENSG00000143318	CASQ1
chr1	160276812	160286348	ENSG00000162735	PEX19
chr1	161037631	161038990	ENSG00000215845	TSTD1
chr1	161046946	161069970	ENSG00000186517	ARHGAP30
chr1	161100556	161118111	ENSG00000143256	PFDN2
chr1	161118086	161125445	ENSG00000158793	NIT1
chr1	161152776	161158856	ENSG00000143222	UFC1
chr1	161166410	161178013	ENSG00000143224	PPOX
chr1	161197104	161214395	ENSG00000158864	NDUFS2
chr1	161225939	161230744	ENSG00000158882	TOMM40L
chr1	161314257	161375340	ENSG00000143252	SDHC
chr1	161623196	161631963	ENSG00000162747	FCGR3B
chr1	162069774	162370475	ENSG00000198929	NOS1AP
chr1	165630861	165661796	ENSG00000143198	MGST3
chr1	165662216	165698863	ENSG00000143149	ALDH9A1
chr1	167220829	167427345	ENSG00000143190	POU2F1
chr1	167809388	167914215	ENSG00000143199	ADCY10
chr1	167916729	167937040	ENSG00000143158	MPC2
chr1	168178933	168202114	ENSG00000143155	TIPRL
chr1	168576473	168582077	ENSG00000143184	XCL1
chr1	169105697	169132722	ENSG00000143153	ATP1B1
chr1	169463909	169486003	ENSG00000117479	SLC19A2
chr1	169921326	170085208	ENSG00000075945	KIFAP3
chr1	171090877	171117819	ENSG00000007933	FMO3
chr1	171248471	171285978	ENSG00000010932	FMO1
chr1	171635417	171652683	ENSG00000034971	MYOC
chr1	171841498	172418466	ENSG00000197959	DNM3
chr1	173477266	173488807	ENSG00000117592	PRDX6
chr1	173824503	173858546	ENSG00000117593	DARS2
chr1	175010789	175023425	ENSG00000120333	MRPS14
chr1	177923956	177984303	ENSG00000120341	SEC16B
chr1	179025804	179076562	ENSG00000116199	FAM20B
chr1	179550539	179575952	ENSG00000116218	NPHS2
chr1	179591613	179691272	ENSG00000162782	TDRD5
chr1	179839967	179877803	ENSG00000169905	TOR1AIP2
chr1	180154834	180204030	ENSG00000116260	QSOX1
chr1	182381704	182392206	ENSG00000135821	GLUL
chr1	182573634	182589256	ENSG00000135828	RNASEL
chr1	182789293	182830384	ENSG00000135838	NPL
chr1	183248237	183418602	ENSG00000157064	NMNAT2
chr1	184690231	184754913	ENSG00000116406	EDEM3
chr1	186443566	186461122	ENSG00000116703	PDC
chr1	186671791	186680427	ENSG00000073756	PTGS2
chr1	186828953	186988981	ENSG00000116711	PLA2G4A
chr1	190097662	190478404	ENSG00000162670	BRINP3
chr1	192809039	192812283	ENSG00000116741	RGS2
chr1	193096468	193106114	ENSG00000023572	GLRX2
chr1	201283452	201332993	ENSG00000081277	PKP1
chr1	201955491	201970661	ENSG00000134375	TIMM17A
chr1	202590596	202710417	ENSG00000143858	SYT2
chr1	202961869	202967280	ENSG00000159348	CYB5R1
chr1	203026498	203078740	ENSG00000143847	PPFIA4
chr1	203090654	203167405	ENSG00000163485	ADORA1
chr1	203626561	203744081	ENSG00000058668	ATP2B4
chr1	205043197	205078499	ENSG00000184144	CNTN2
chr1	205828022	205850132	ENSG00000162877	PM20D1
chr1	206186179	206204414	ENSG00000196550	FAM72A
chr1	206470476	206496889	ENSG00000263528	IKBKE
chr1	209614870	209652466	ENSG00000196878	LAMB3
chr1	209675420	209676388	ENSG00000123689	G0S2
chr1	209686178	209734950	ENSG00000117594	HSD11B1
chr1	210328252	210676296	ENSG00000054392	HHAT
chr1	210678315	211134115	ENSG00000143473	KCNH1
chr1	211658657	211675630	ENSG00000117650	NEK2
chr1	212035553	212107400	ENSG00000143476	DTL
chr1	212791828	212816626	ENSG00000203705	TATDN3
chr1	212858255	212899363	ENSG00000162769	FLVCR1
chr1	212992182	213015826	ENSG00000174606	ANGEL2
chr1	213051233	213274773	ENSG00000136643	RPS6KC1
chr1	215622894	216423396	ENSG00000042781	USH2A
chr1	218285287	218337983	ENSG00000067533	RRP15
chr1	219968601	220046658	ENSG00000136628	EPRS
chr1	220094102	220148041	ENSG00000067704	IARS2
chr1	220748225	220784815	ENSG00000117791	Mar-02
chr1	220786759	220819657	ENSG00000186205	Mar-01
chr1	221701424	221742176	ENSG00000143507	DUSP10
chr1	222557902	222589933	ENSG00000143498	TAF1A
chr1	222618086	222668012	ENSG00000154305	MIA3
chr1	224175756	224193441	ENSG00000143753	DEGS1
chr1	224227334	224330387	ENSG00000143748	NVL
chr1	225486835	225653142	ENSG00000154380	ENAH
chr1	225919877	225924340	ENSG00000143811	PYCR2
chr1	226144679	226186730	ENSG00000182827	ACBD3
chr1	226360691	226408079	ENSG00000143799	PARP1
chr1	226870184	226896105	ENSG00000143801	PSEN2
chr1	226897536	226987545	ENSG00000163050	ADCK3
chr1	228106679	228109312	ENSG00000162910	MRPL55
chr1	228165815	228182257	ENSG00000181873	IBA57
chr1	228208130	228378876	ENSG00000154358	OBSCN
chr1	228735077	228746669	ENSG00000116574	RHOU
chr1	229271062	229305894	ENSG00000168118	RAB4A
chr1	229516582	229558695	ENSG00000135776	ABCB10
chr1	231241207	231277973	ENSG00000116906	GNPAT
chr1	231332753	231337852	ENSG00000116903	EXOC8
chr1	231626815	232041272	ENSG00000162946	DISC1
chr1	233614004	233672512	ENSG00000135750	KCNK1
chr1	234373456	234384049	ENSG00000168275	COA6
chr1	235109336	235128936	ENSG00000173726	TOMM20
chr1	235327350	235344532	ENSG00000152904	GGPS1
chr1	235367360	235448968	ENSG00000116957	TBCE
chr1	236549005	236604504	ENSG00000119285	HEATR1
chr1	237042205	237833988	ENSG00000198626	RYR2
chr1	239386565	239915452	ENSG00000133019	CHRM3
chr1	241497603	241519761	ENSG00000091483	FH
chr1	241532134	241595642	ENSG00000117009	KMO
chr1	241995490	241999073	ENSG00000197769	MAP1LC3C
chr1	243256034	243500092	ENSG00000054282	SDCCAG8
chr1	243488233	243851079	ENSG00000117020	AKT3
chr1	244835322	244845057	ENSG00000203667	COX20
chr1	246540560	246566324	ENSG00000162851	TFB2M
chr1	246724047	246768137	ENSG00000143653	SCCPDH
chr10	1039908	1049170	ENSG00000067064	IDI1
chr10	3066333	3137712	ENSG00000067057	PFKP
chr10	3137728	3172841	ENSG00000107959	PITRM1
chr10	4786629	4848062	ENSG00000165568	AKR1E2
chr10	4963253	5107522	ENSG00000187134	AKR1C1
chr10	5861617	5889906	ENSG00000134461	ANKRD16
chr10	5890203	5937594	ENSG00000134452	FBXO18
chr10	7158624	7411486	ENSG00000198879	SFMBT2
chr10	7750962	7787981	ENSG00000151657	KIN
chr10	7788129	7807815	ENSG00000165629	ATP5C1
chr10	11742366	11764070	ENSG00000134463	ECHDC3
chr10	12068972	12123225	ENSG00000181192	DHTKD1
chr10	13277796	13302412	ENSG00000107537	PHYH
chr10	14838164	14871741	ENSG00000187522	HSPA14
chr10	16823964	17129831	ENSG00000107611	CUBN
chr10	23095506	23122013	ENSG00000148450	MSRB2
chr10	24981979	25062279	ENSG00000151023	ENKUR
chr10	25016658	25026664	ENSG00000185875	THNSL1
chr10	25934267	26212527	ENSG00000095777	MYO3A
chr10	26216307	26304558	ENSG00000136750	GAD2
chr10	26697659	26746798	ENSG00000148459	PDSS1
chr10	26991914	27100498	ENSG00000107890	ANKRD26
chr10	27110112	27155266	ENSG00000136758	YME1L1
chr10	27195214	27242130	ENSG00000107897	ACBD5
chr10	27398187	27414368	ENSG00000182077	PTCHD3
chr10	27504174	27542237	ENSG00000099246	RAB18
chr10	27812164	27999048	ENSG00000169126	ARMC4
chr10	28050993	28334486	ENSG00000150054	MPP7
chr10	30309801	30374448	ENSG00000107951	MTPAP
chr10	32009010	32056431	ENSG00000170759	KIF5B
chr10	32900319	33005792	ENSG00000150093	ITGB1
chr10	35008551	35090642	ENSG00000108094	CUL2
chr10	43077027	43130351	ENSG00000165731	RET
chr10	44970981	44978810	ENSG00000165507	C10orf10
chr10	45972449	46003734	ENSG00000265354	TIMM23
chr10	46005088	46030714	ENSG00000266412	NCOA4
chr10	48306639	48439360	ENSG00000107643	MAPK8
chr10	49609095	49665104	ENSG00000070748	CHAT
chr10	49734643	49762379	ENSG00000197444	OGDHL
chr10	49818279	49970203	ENSG00000227345	PARG
chr10	49942033	49974850	ENSG00000204152	TIMM23B
chr10	50182778	50248610	ENSG00000188611	ASAH2
chr10	50991358	52298350	ENSG00000185532	PRKG1
chr10	53802771	55627942	ENSG00000150275	PCDH15
chr10	56357228	56361275	ENSG00000122952	ZWINT
chr10	58269058	58289586	ENSG00000122873	CISD1
chr10	58385022	58399221	ENSG00000108064	TFAM
chr10	59176590	59247774	ENSG00000165443	PHYHIPL
chr10	60026298	60733490	ENSG00000151150	ANK3
chr10	60778331	60794852	ENSG00000170312	CDK1
chr10	62804857	62808483	ENSG00000181915	ADO
chr10	67884669	67918390	ENSG00000096717	SIRT1
chr10	68414064	68472121	ENSG00000138346	DNA2
chr10	68477999	68527474	ENSG00000122912	SLC25A16
chr10	68827541	68895432	ENSG00000165730	STOX1
chr10	68988721	69016982	ENSG00000198954	KIF1BP
chr10	69123512	69172861	ENSG00000122958	VPS26A
chr10	69180232	69209099	ENSG00000156502	SUPV3L1
chr10	69269984	69401882	ENSG00000156515	HK1
chr10	70098223	70132934	ENSG00000042286	AIFM2
chr10	70597348	70602775	ENSG00000180644	PRF1
chr10	71396934	71815947	ENSG00000107736	CDH23
chr10	71816298	71851375	ENSG00000197746	PSAP
chr10	71964365	72013564	ENSG00000122863	CHST3
chr10	72273920	72276036	ENSG00000168209	DDIT4
chr10	72367327	72626191	ENSG00000107745	MICU1
chr10	72692131	72887694	ENSG00000156026	MCU
chr10	73007217	73096974	ENSG00000122884	P4HA1
chr10	73110375	73131828	ENSG00000166321	NUDT13
chr10	73248843	73252693	ENSG00000182180	MRPS16
chr10	73782047	73783652	ENSG00000172586	CHCHD1
chr10	75210154	75231448	ENSG00000165637	VDAC2
chr10	75233969	75236030	ENSG00000165644	COMTD1
chr10	77969251	78029545	ENSG00000148606	POLR3A
chr10	78033760	78056812	ENSG00000138326	RPS24
chr10	79069035	79316528	ENSG00000108175	ZMIZ1
chr10	79347469	79355337	ENSG00000108179	PPIF
chr10	80271820	80289684	ENSG00000151224	MAT1A
chr10	80407829	80437115	ENSG00000122378	FAM213A
chr10	84139440	84153555	ENSG00000165678	GHITM
chr10	86435256	86521815	ENSG00000062650	WAPL
chr10	87050486	87094866	ENSG00000148672	GLUD1
chr10	87751512	87841343	ENSG00000138138	ATAD1
chr10	87863113	87971930	ENSG00000171862	PTEN
chr10	88664441	88678814	ENSG00000182333	LIPF
chr10	89301955	89309276	ENSG00000119922	IFIT2
chr10	89327894	89340971	ENSG00000119917	IFIT3
chr10	92046692	92291087	ENSG00000107864	CPEB3
chr10	92291163	92353964	ENSG00000198060	Mar-05
chr10	92451684	92574076	ENSG00000119912	IDE
chr10	92834713	93059493	ENSG00000138190	EXOC6
chr10	93306429	93482317	ENSG00000138119	MYOF
chr10	93757809	93798174	ENSG00000108231	LGI1
chr10	94683621	94736190	ENSG00000108242	CYP2C18
chr10	94762624	94853260	ENSG00000165841	CYP2C19
chr10	94938658	94989390	ENSG00000138109	CYP2C9
chr10	95036772	95069497	ENSG00000138115	CYP2C8
chr10	95194200	95228928	ENSG00000173124	ACSM6
chr10	95605929	95656706	ENSG00000059573	ALDH18A1
chr10	95663396	95694143	ENSG00000119977	TCTN3
chr10	97572499	97583884	ENSG00000165887	ANKRD2
chr10	97584323	97612802	ENSG00000241935	HOGA1
chr10	97640686	97676434	ENSG00000155252	PI4K2A
chr10	98416198	98446947	ENSG00000107521	HPS1
chr10	99396870	99430624	ENSG00000120053	GOT1
chr10	99610522	99620609	ENSG00000155287	SLC25A28
chr10	99711844	99732100	ENSG00000014919	COX15
chr10	99875577	100009919	ENSG00000107554	DNMBP
chr10	100188298	100229619	ENSG00000213341	CHUK
chr10	100273280	100286712	ENSG00000196072	BLOC1S2
chr10	100288154	100330486	ENSG00000107593	PKD2L1
chr10	100505628	100529881	ENSG00000255339	RP11-411B6.6
chr10	100523740	100530000	ENSG00000166136	NDUFB8
chr10	100912569	100965136	ENSG00000119906	SLF2
chr10	100969458	100987515	ENSG00000055950	MRPL43
chr10	100987367	100994401	ENSG00000107815	C10orf2
chr10	101031234	101041244	ENSG00000107819	SFXN3
chr10	102065390	102068038	ENSG00000166189	HPS6
chr10	102132994	102150331	ENSG00000148840	PPRC1
chr10	102245532	102382899	ENSG00000107862	GBF1
chr10	102479229	102502711	ENSG00000138107	ACTR1A
chr10	102644496	102658407	ENSG00000171206	TRIM8
chr10	102673731	102714407	ENSG00000138175	ARL3
chr10	102714538	102743492	ENSG00000156398	SFXN2
chr10	102830531	102837533	ENSG00000148795	CYP17A1
chr10	102869516	102901899	ENSG00000214435	AS3MT
chr10	103367967	103389065	ENSG00000148835	TAF5
chr10	103389041	103396466	ENSG00000173915	USMG5
chr10	103882542	103918205	ENSG00000107960	OBFC1
chr10	104235356	104267459	ENSG00000148834	GSTO1
chr10	110898730	110919274	ENSG00000214413	BBIP1
chr10	111077163	111080907	ENSG00000150594	ADRA2A
chr10	112149864	112215377	ENSG00000119927	GPAM
chr10	112374018	112428380	ENSG00000197142	ACSL5
chr10	113679162	113730907	ENSG00000165806	CASP7
chr10	114044056	114046908	ENSG00000043591	ADRB1
chr10	114179270	114232304	ENSG00000095627	TDRD1
chr10	118004916	118046603	ENSG00000107560	RAB11FIP2
chr10	119029716	119033732	ENSG00000188613	NANOS1
chr10	119140767	119165667	ENSG00000183605	SFXN4
chr10	119167703	119178833	ENSG00000165672	PRDX3
chr10	119892711	119944658	ENSG00000107651	SEC23IP
chr10	121478334	121598458	ENSG00000066468	FGFR2
chr10	122454653	122457352	ENSG00000254636	ARMS2
chr10	122954381	122997513	ENSG00000179988	PSTK
chr10	123008979	123058311	ENSG00000196177	ACADSB
chr10	123666355	123694607	ENSG00000154478	GPR26
chr10	124397303	124418976	ENSG00000065154	OAT
chr10	124984317	125161170	ENSG00000175029	CTBP2
chr10	125784980	125823248	ENSG00000188690	UROS
chr10	125836337	125896436	ENSG00000089876	DHX32
chr10	126012381	126388455	ENSG00000148848	ADAM12
chr10	130136399	130184521	ENSG00000108010	GLRX3
chr10	131966455	131982013	ENSG00000176171	BNIP3
chr10	133362480	133373689	ENSG00000127884	ECHS1
chr10	133390834	133420495	ENSG00000254536	RP11-108K14.8
chr10	133394094	133421307	ENSG00000148824	MTG1
chr10	133520406	133561220	ENSG00000130649	CYP2E1
chr11	215458	236931	ENSG00000142082	SIRT3
chr11	532242	537287	ENSG00000174775	HRAS
chr11	637293	640706	ENSG00000069696	DRD4
chr11	747329	765024	ENSG00000177156	TALDO1
chr11	787104	790123	ENSG00000184524	CEND1
chr11	790475	798333	ENSG00000177542	SLC25A22
chr11	809647	812880	ENSG00000177600	RPLP2
chr11	818902	825573	ENSG00000177666	PNPLA2
chr11	1223066	1262172	ENSG00000117983	MUC5B
